gvkey,iid,datadate,tic,prccd,,,
1161,1,20160818,AMD,7.04,,,
1161,1,20160819,AMD,7.62,,,
1161,1,20160822,AMD,7.58,,,
1161,1,20160823,AMD,7.67,,,
1161,1,20160824,AMD,7.43,,,
1161,1,20160825,AMD,7.465,,,
1161,1,20160826,AMD,7.67,,,
1161,1,20160829,AMD,7.59,,,
1161,1,20160830,AMD,7.49,,,
1161,1,20160831,AMD,7.4,,,
1161,1,20160901,AMD,7.35,,,
1161,1,20160902,AMD,7.51,,,
1161,1,20160906,AMD,7.34,,,
1161,1,20160907,AMD,6.84,,,
1161,1,20160908,AMD,6.225,,,
1161,1,20160909,AMD,5.9,,,
1161,1,20160912,AMD,5.94,,,
1161,1,20160913,AMD,5.74,,,
1161,1,20160914,AMD,6.04,,,
1161,1,20160915,AMD,6.02,,,
1161,1,20160916,AMD,6.05,,,
1161,1,20160919,AMD,6.16,,,
1161,1,20160920,AMD,6.17,,,
1161,1,20160921,AMD,6.29,,,
1161,1,20160922,AMD,6.37,,,
1161,1,20160923,AMD,6.55,,,
1161,1,20160926,AMD,6.32,,,
1161,1,20160927,AMD,6.54,,,
1161,1,20160928,AMD,6.59,,,
1161,1,20160929,AMD,6.67,,,
1161,1,20160930,AMD,6.91,,,
1161,1,20161003,AMD,6.95,,,
1161,1,20161004,AMD,6.97,,,
1161,1,20161005,AMD,6.78,,,
1161,1,20161006,AMD,6.96,,,
1161,1,20161007,AMD,6.75,,,
1161,1,20161010,AMD,6.84,,,
1161,1,20161011,AMD,6.5,,,
1161,1,20161012,AMD,6.62,,,
1161,1,20161013,AMD,6.49,,,
1161,1,20161014,AMD,6.75,,,
1161,1,20161017,AMD,6.67,,,
1161,1,20161018,AMD,6.73,,,
1161,1,20161019,AMD,6.77,,,
1161,1,20161020,AMD,6.96,,,
1161,1,20161021,AMD,6.52,,,
1161,1,20161024,AMD,7.005,,,
1161,1,20161025,AMD,7.5,,,
1161,1,20161026,AMD,7.29,,,
1161,1,20161027,AMD,7.11,,,
1161,1,20161028,AMD,7.2,,,
1161,1,20161031,AMD,7.23,,,
1161,1,20161101,AMD,7.09,,,
1161,1,20161102,AMD,6.76,,,
1161,1,20161103,AMD,6.7,,,
1161,1,20161104,AMD,6.56,,,
1161,1,20161107,AMD,6.96,,,
1161,1,20161108,AMD,7,,,
1161,1,20161109,AMD,6.94,,,
1161,1,20161110,AMD,6.295,,,
1161,1,20161111,AMD,6.685,,,
1161,1,20161114,AMD,6.79,,,
1161,1,20161115,AMD,6.97,,,
1161,1,20161116,AMD,7.67,,,
1161,1,20161117,AMD,8.46,,,
1161,1,20161118,AMD,8.71,,,
1161,1,20161121,AMD,8.94,,,
1161,1,20161122,AMD,8.69,,,
1161,1,20161123,AMD,8.8,,,
1161,1,20161125,AMD,8.77,,,
1161,1,20161128,AMD,8.83,,,
1161,1,20161129,AMD,8.93,,,
1161,1,20161130,AMD,8.91,,,
1161,1,20161201,AMD,8.39,,,
1161,1,20161202,AMD,8.53,,,
1161,1,20161205,AMD,8.68,,,
1161,1,20161206,AMD,9.45,,,
1161,1,20161207,AMD,9.56,,,
1161,1,20161208,AMD,10.34,,,
1161,1,20161209,AMD,10.34,,,
